,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
165,0.621,0.713,-7.226,0.102,0.605,8.28e-06,0.103,0.609,78.022,607EA1HsuzrqqaPuxyNqpD,251627
166,0.627,0.633,-7.41,0.0305,0.133,7.07e-05,0.216,0.763,85.999,7iOyMOxdOULvXqUqC26spJ,194053
167,0.766,0.806,-10.011,0.0403,0.124,0.171,0.119,0.76,123.51,1UcgqK04vVmW8aXV2OxGiZ,165227
168,0.721,0.822,-4.843,0.0391,0.0113,7.01e-05,0.0898,0.536,140.002,0wDEiGfq4pw7FAkYKpkwMo,217387
169,0.354,0.867,-3.144,0.0738,0.00664,0.554,0.323,0.295,142.854,1TbttHmSc7tH1Sod3C4AL5,180133
170,0.324,0.71,-6.545,0.0297,0.309,0.173,0.132,0.195,134.385,5j58jhAFzAy0keSuQYsQBn,532307
171,0.408,0.974,-4.139,0.126,1.31e-05,4.86e-05,0.526,0.173,148.298,67ispalOAo3jnZWYSTTfZk,207002
172,0.71,0.847,-3.009,0.0892,0.0289,0.00033,0.0613,0.65,119.944,4cAyxZSDlcVS6CYaeBYrIJ,207320
173,0.603,0.952,-3.699,0.0947,0.00189,0.000445,0.317,0.588,133.97,2vnghLAJ4wBAkQX9MK1GY5,163627
174,0.519,0.612,-7.1,0.0254,0.181,7.08e-06,0.105,0.158,134.046,4kFmM894Q4sgHDl4pZalza,248044
175,0.732,0.668,-6.978,0.126,0.143,0.207,0.176,0.598,140.004,40H5MGB07FCEmrgHBlmLDU,254038
176,0.334,0.397,-10.313,0.0328,0.658,0.00014,0.136,0.225,129.127,1eVSIwID90tbwYNrLeugyQ,207719
177,0.64,0.868,-5.527,0.0341,0.0986,0.0454,0.242,0.798,115.968,7rL602DQps4QmrrjbinLzP,353086
178,0.618,0.848,-4.36,0.0279,0.000469,0.522,0.189,0.413,118.998,7ti4qMC7xYQeh1uRzj5XuM,209485
179,0.399,0.612,-7.814,0.0358,0.00317,0.33,0.127,0.0567,128.167,79npfYK6N5RnBc1jiaoHCr,356674
180,0.74,0.798,-6.55,0.146,0.189,0.00128,0.305,0.571,119.964,7vcNp4cj4uF4AyX5aKY4Ps,261360
181,0.638,0.411,-10.729,0.0275,0.668,0.00316,0.106,0.569,130.658,6SEB9C8RPcmsp6Nv53LLrF,268347
182,0.422,0.809,-5.607,0.246,0.0333,3.64e-05,0.203,0.735,87.076,10f0hrbCBiQk9STrFG3EU7,160067
183,0.57,0.657,-6.987,0.0356,0.405,1.86e-06,0.0723,0.41,144.247,14qPtxNN9MBdqKpP6l5q6G,218800
184,0.503,0.495,-10.251,0.0328,0.655,0.373,0.0934,0.133,140.032,70ZuQywnmOpqcIiEnUA5yV,283387
185,0.467,0.645,-7.614,0.0365,0.101,0.00515,0.144,0.71,127.468,6RgrpOgbTI3M2qvA8XIvTb,201707
186,0.605,0.661,-9.476,0.0443,0.455,0.326,0.109,0.259,144.968,2746pcTPaE9FBHkvUivCsg,217120
187,0.601,0.859,-6.311,0.0397,0.0351,0.331,0.144,0.431,101.003,4WMuY659P2MKnoW40oGXe8,249747
188,0.585,0.717,-8.379,0.0311,0.0561,0.0148,0.366,0.636,111.563,7uMZy0bALAdneerERyr7Ks,450984
189,0.38,0.781,-8.162,0.0341,0.0472,0.749,0.265,0.553,101.7,4cCoZML1dPIQxNjOwDmJGf,570733
190,0.443,0.737,-4.509,0.0293,0.0015,0.00346,0.121,0.746,115.273,49fc6EwdmbgaMKzbi7rT54,312227
191,0.647,0.31,-10.237,0.0372,0.705,0.000723,0.1,0.189,103.974,6AY1M1akbsVaQN3ATVyzH7,237973
192,0.542,0.869,-4.429,0.135,5.21e-05,0.000222,0.115,0.592,130.021,6SlZp9UeLRIuw92j96dcjU,222880
193,0.536,0.73,-7.606,0.0427,0.0036,0.661,0.183,0.438,97.209,4Wics9qaNdLtzfZOwl2mdw,292547
194,0.461,0.331,-11.03,0.0359,0.613,0.00104,0.129,0.0899,102.488,1RRBuxXdsIB0yazqGDlKTj,215507
195,0.537,0.716,-5.94,0.034,0.131,0.000234,0.182,0.53,118.353,0RrPNhHIC7WkLR88xDVKJa,281133
196,0.606,0.857,-4.48,0.0333,0.00474,5.36e-06,0.0993,0.377,122.972,0NYLOvWtvJdyeceDD9R1Vw,202922
197,0.663,0.777,-5.496,0.0375,0.0157,0.00829,0.0755,0.94,143.003,04D2wKcN9ju5IY06nwV24m,212613
198,0.511,0.678,-6.858,0.869,0.241,0.0,0.0948,0.405,212.137,63Ly2sEzloc9s0yAXlMi6r,253585
199,0.462,0.827,-6.682,0.0306,0.0116,0.421,0.502,0.808,166.668,78uf7QYfexQ1sggf2fsKzg,431747
200,0.581,0.793,-5.949,0.0914,0.0084,0.0,0.183,0.352,130.902,3GTXok0dIm0mMqBiVklBYS,193853
201,0.63,0.736,-7.302,0.0384,0.0507,0.00244,0.109,0.919,137.948,43QhrhgRrH9NWy6eoUro4X,227253
202,0.71,0.696,-5.487,0.0305,0.0557,0.418,0.28,0.8,100.004,0hdITyuO1L5ZCTDFUiM4nQ,228053
203,0.77,0.801,-4.182,0.0336,0.00375,0.00281,0.0515,0.725,130.76,79d719EfQQZ7D7nYdgPGEe,233133
204,0.564,0.68,-6.487,0.0357,0.231,0.000179,0.247,0.262,89.938,35aNHKBZWXXbL9KQK7O5Nk,226373
205,0.504,0.139,-16.568,0.0326,0.922,0.105,0.115,0.109,125.115,1qFb85QhwOqpnAKh7ahsGQ,241467
